Stage,Rank,Run,Model,Embedding (dim),T@1,T@5,MRR,Med.Rk,MeanCos.,Comp.
Stage 1,1,1_CNNPool_sbert_CosineLoss,CNNPool,sbert (384),0.043,0.237,0.1505884106076481,15.0,0.8608171882033349,0.9892908594101667
Stage 1,2,4_ResnetDSA_sbert_CosineLoss,ResnetDSA,sbert (384),0.042,0.17,0.1181681514057288,29.0,0.8361998736262322,0.8621520810063004
Stage 2,3,9_ResnetDSA_P_wvec_CosineLoss,ResnetDSA,P_wvec (300),0.034,0.12,0.0873948353074299,77.5,0.8884213775396347,0.7122594492482273
Stage 1,4,2_CNNStride_sbert_CosineLoss,CNNStride,sbert (384),0.016,0.071,0.0621117238622875,44.0,0.8409877596497536,0.5447657666260486
Stage 1,5,0_CNN2Layer_sbert_CosineLoss,CNN2Layer,sbert (384),0.008,0.029,0.0315619757633979,161.0,0.8015761075019836,0.37874938853534695
Stage 1,6,3_GoogleNet_sbert_CosineLoss,GoogleNet,sbert (384),0.002,0.026,0.0229363448013008,210.5,0.7278884583711625,0.3128364652842294
Stage 2,7,6_ResnetDSA_TB_mean_CosineLoss,ResnetDSA,TB_mean (312),0.004,0.018,0.0167595969564162,396.0,0.8719937479496003,0.2635496677634475
Stage 2,8,14_ResnetDSA_B_mean_MSELoss,ResnetDSA,B_mean (768),0.002,0.009,0.0132105531826737,341.0,0.8785497741103172,0.2543801964780569
Stage 2,9,8_ResnetDSA_B_mean_CosineLoss,ResnetDSA,B_mean (768),0.002,0.01,0.0112599111360704,418.5,0.8734041932225227,0.23084711528492882
Stage 2,10,5_ResnetDSA_TB_pooler_CosineLoss,ResnetDSA,TB_pooler (312),0.002,0.008,0.0102401776329848,456.5,0.9719059818983078,0.2226363009652611
Stage 2,11,13_ResnetDSA_B_pooler_MSELoss,ResnetDSA,B_pooler (768),0.002,0.007,0.0088809150917971,472.0,0.9675159888267516,0.2147496701128137
Stage 2,12,15_ResnetDSA_P_wvec_MSELoss,ResnetDSA,P_wvec (300),0.0,0.009,0.0095835453137362,428.0,0.725460601747036,0.20724346239719066
Stage 2,13,7_ResnetDSA_B_pooler_CosineLoss,ResnetDSA,B_pooler (768),0.002,0.006,0.0086333622708893,499.0,0.9695230459570884,0.20689174533879262
Stage 2,14,12_ResnetDSA_TB_mean_MSELoss,ResnetDSA,TB_mean (312),0.001,0.009,0.0089577399961672,463.5,0.8302996337413788,0.20680707002798615
Stage 2,15,10_ResnetDSA_sbert_MSELoss,ResnetDSA,sbert (384),0.002,0.005,0.0086340335096782,475.5,0.4873999447524547,0.18802923899011847
Stage 2,16,11_ResnetDSA_TB_pooler_MSELoss,ResnetDSA,TB_pooler (312),0.001,0.006,0.0071716308874898,513.0,0.5584226201474667,0.1747881817240534
