run_id,epoch,train_loss,val_loss
cnn3_glove,1,0.005903867166061264,0.0010255820294063072
cnn3_glove,2,0.000786575436725227,0.000651513704828238
cnn3_glove,3,0.0005089768184120253,0.0004288485224364049
cnn3_glove,4,0.0003386810432369948,0.0002948831155552695
cnn3_glove,5,0.0002343487801057345,0.00020131677097663949
cnn3_glove,6,0.0001661747852170482,0.00014633098200004293
cnn3_glove,7,0.00012177636860606061,0.00010932574475568297
cnn3_glove,8,9.192482857532139e-05,8.33635236534552e-05
cnn3_glove,9,7.093439397656481e-05,6.903145185788162e-05
cnn3_glove,10,5.5975177552684156e-05,5.2125040176054534e-05
